,MBF,bestFitness,nIter,pm,pc,popSize
105,319.0672688212328,314.99908629327246,2999,0.9,0.9,10
106,415.04689083115693,292.96475798428474,124,0.9,0.9,10
107,319.9922704065529,315.03410683784193,2999,0.9,0.9,10
108,356.4427823321775,284.380862862478,1199,0.9,0.9,10
109,354.0539993532609,327.3117492996821,2999,0.9,0.9,10
110,371.23242999575126,284.380862862478,776,0.9,0.9,10
111,324.32769032677015,301.3581943139576,2999,0.9,0.9,10
112,306.3805713867282,301.35819431395754,2999,0.9,0.9,10
113,352.3056591595138,349.2663641578763,2999,0.9,0.9,10
114,355.70044608755654,284.380862862478,317,0.9,0.9,10
115,326.90815315166157,315.03410683784193,2999,0.9,0.9,10
116,369.5352588887523,284.380862862478,149,0.9,0.9,10
117,320.87126336718796,315.03410683784193,2999,0.9,0.9,10
118,327.6853146162825,321.58491380220966,2999,0.9,0.9,10
119,330.81097285672377,292.9647579842847,1598,0.9,0.9,10
120,328.8775098192267,325.98208657111263,2999,0.9,0.9,10
121,368.1943851779701,284.380862862478,133,0.9,0.9,10
122,326.26355708380913,315.034106837842,2999,0.9,0.9,10
123,331.3742300434295,321.58491380220966,2999,0.9,0.9,10
124,356.47783525676414,292.5055028535422,297,0.9,0.9,10
125,327.468322065144,314.9990862932725,2999,0.9,0.9,10
126,328.87748259679296,292.5055028535422,1288,0.9,0.9,10
127,324.18091397644525,319.7791676762105,2999,0.9,0.9,10
128,365.2951199780808,292.5055028535422,546,0.9,0.9,10
129,320.63174352401114,315.24992686236016,2999,0.9,0.9,10
130,339.1110836206694,325.29966165230434,2999,0.9,0.9,10
131,366.2127435827546,284.380862862478,210,0.9,0.9,10
132,308.6786871960483,301.35819431395754,2999,0.9,0.9,10
133,406.9439524524572,292.96475798428474,118,0.9,0.9,10
134,342.0966919500225,284.38086286247795,1505,0.9,0.9,10
135,320.0295935650284,315.03410683784193,2999,0.9,0.9,10
136,324.57176151640226,321.58491380220966,2999,0.9,0.9,10
137,341.9179523609819,337.07784359203885,2999,0.9,0.9,10
138,354.3973256137728,326.82042168934885,2999,0.9,0.9,10
139,360.3754263399755,358.0182581906838,2999,0.9,0.9,10
140,348.06265583612384,292.5055028535422,290,0.9,0.9,10
141,353.3338134196364,292.5055028535422,317,0.9,0.9,10
142,340.3941905908455,284.38086286247795,953,0.9,0.9,10
143,334.4253339788691,292.50550285354217,1355,0.9,0.9,10
144,318.55951329663594,315.034106837842,2999,0.9,0.9,10
145,370.2977593665515,284.380862862478,353,0.9,0.9,10
146,351.0269956265386,323.21971021592503,2999,0.9,0.9,10
147,325.93684566555226,321.58491380220966,2999,0.9,0.9,10
148,322.71661281374804,315.2499268623601,2999,0.9,0.9,10
149,378.76222348325035,292.5055028535422,141,0.9,0.9,10
